area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot Area,Ready To Move,Gandhi Path West,3 BHK,Cosmopolitan Society,4933,3,3,436.92
Plot Area,Ready To Move,Civil Lines,2 BHK,Blue Haven,1520,3,1,139.28
Plot Area,Under Construction,Sita Vihar,1 BHK,Blue Haven,2315,1,1,127.9
Super built-up Area,Ready To Move,Dahar Ka Balaji,3 BHK,Pearl Gardens,3331,4,2,340.19
Super built-up Area,Ready To Move,Vaishali Nagar,4 BHK,Heritage Homes,1943,4,3,141.62
Super built-up Area,Ready To Move,Sirsi,5 BHK,Emerald Greens,1137,5,3,111.45
Super built-up Area,Under Construction,Mansarovar Ext.,2 BHK,Raj Villas,2984,1,2,222.87
Super built-up Area,Under Construction,Manchwa,4 BHK,Heritage Homes,2168,4,3,241.58
Super built-up Area,Ready To Move,Mansarovar Ext.,2 BHK,Royal Enclave,1657,1,2,48.03
Plot Area,Ready To Move,Brahmpuri,2 BHK,Elite Society,930,3,1,118.27
Super built-up Area,Ready To Move,Chokdi Gangapol,5 BHK,Zenith Society,1377,4,3,97.26
Super built-up Area,Ready To Move,Sita Vihar,4 BHK,Emerald Greens,1838,3,2,142.64
Plot Area,Under Construction,Manchwa,1 BHK,Blue Haven,1062,2,1,86.77
Built-up Area,Ready To Move,Civil Lines,1 BHK,Park View,942,1,0,108.7
Super built-up Area,Ready To Move,Dahar Ka Balaji,3 BHK,Urban Estate,2005,4,1,270.48
Super built-up Area,Under Construction,Jawahar Nagar,4 BHK,Sapphire Residency,2086,3,3,216.56
Super built-up Area,Ready To Move,Dahar Ka Balaji,1 BHK,Raj Villas,3019,1,1,159.31
Plot Area,Under Construction,Sita Vihar,3 BHK,Zenith Society,3406,4,2,333.12
Built-up Area,Ready To Move,Bapu Nagar,5 BHK,City Heights,2276,5,3,289.81
Plot Area,Under Construction,Civil Lines,5 BHK,Royal Enclave,1706,4,3,91.86
Plot Area,Ready To Move,Sita Vihar,5 BHK,Elite Society,4368,4,3,206.43
Plot Area,Ready To Move,Vaishali Nagar,2 BHK,Pearl Gardens,3971,3,2,449.51
Super built-up Area,Ready To Move,Vaishali Nagar,5 BHK,City Heights,1979,5,3,158.0
Built-up Area,Ready To Move,Hanuman Nagar,5 BHK,Heritage Homes,1045,5,3,41.93
Super built-up Area,Under Construction,Jawahar Nagar,4 BHK,Golden Horizon,2798,3,2,106.33
Carpet Area,Ready To Move,Hanuman Nagar,5 BHK,Golden Horizon,603,4,3,55.61
Carpet Area,Under Construction,Maniyawas,3 BHK,City Heights,2107,4,2,111.22
Plot Area,Ready To Move,Parasrampuri,2 BHK,Zenith Society,1637,1,0,94.8
Plot Area,Ready To Move,Mansarovar Ext.,2 BHK,Sunrise Apartments,1623,1,0,81.38
Carpet Area,Under Construction,Vaishali Nagar,1 BHK,Heritage Homes,1113,1,1,65.53
Super built-up Area,Under Construction,Maniyawas,3 BHK,Royal Enclave,3058,3,2,270.55
Built-up Area,Under Construction,Brahmpuri,5 BHK,Pearl Gardens,826,5,3,97.89
Plot Area,Ready To Move,Vaishali Nagar,3 BHK,Park View,1374,2,2,56.85
Super built-up Area,Ready To Move,Civil Lines,1 BHK,Emerald Greens,2056,1,0,75.05
Super built-up Area,Ready To Move,Hanuman Nagar,4 BHK,Green Meadows,1587,5,3,175.12
Built-up Area,Ready To Move,Sirsi,1 BHK,Heritage Homes,2586,1,1,110.44
Plot Area,Under Construction,Bapu Nagar,4 BHK,Pearl Gardens,2990,3,3,230.52
Super built-up Area,Ready To Move,Brahmpuri,5 BHK,Emerald Greens,2820,4,3,177.09
Super built-up Area,Ready To Move,Sirsi,2 BHK,Elite Society,1581,1,1,220.24
Super built-up Area,Ready To Move,Raja Park,2 BHK,Royal Enclave,2837,2,2,240.96
Super built-up Area,Ready To Move,Manchwa,3 BHK,Metro Heights,3184,4,1,464.82
Super built-up Area,Under Construction,Tagore Nagar,4 BHK,Shyam Residency,2549,4,3,188.33
Plot Area,Under Construction,Jawahar Nagar,2 BHK,City Heights,1453,3,0,51.25
Plot Area,Under Construction,Malviya Nagar,2 BHK,Sapphire Residency,4929,1,0,289.7
Plot Area,Under Construction,Dahar Ka Balaji,2 BHK,Luxury Heights,4939,2,0,480.11
Plot Area,Ready To Move,Sirsi,1 BHK,Royal Enclave,1509,1,0,79.04
Plot Area,Ready To Move,Raja Park,5 BHK,Raj Villas,4519,5,3,563.17
Super built-up Area,Ready To Move,Tagore Nagar,5 BHK,Emerald Greens,1905,5,3,52.54
Plot Area,Ready To Move,Parasrampuri,2 BHK,Sapphire Residency,3984,2,1,88.5
Plot Area,Ready To Move,Manchwa,2 BHK,Shyam Residency,1926,2,0,218.57
Plot Area,Under Construction,Sita Vihar,3 BHK,City Heights,3378,3,2,413.97
Plot Area,Under Construction,Bapu Nagar,4 BHK,Zenith Society,3354,3,2,69.02
Plot Area,Under Construction,Shyam Nagar,4 BHK,Luxury Heights,2763,3,2,247.0
Plot Area,Ready To Move,Sirsi,4 BHK,Raj Villas,4340,4,3,368.09
Super built-up Area,Ready To Move,Chokdi Gangapol,2 BHK,Emerald Greens,2820,1,1,220.25
Super built-up Area,Ready To Move,Hanuman Nagar,5 BHK,Shyam Residency,2011,4,3,135.45
Plot Area,Ready To Move,Jawahar Nagar,3 BHK,Raj Villas,2236,3,3,130.71
Carpet Area,Ready To Move,Jawahar Nagar,1 BHK,Cosmopolitan Society,1592,2,0,54.88
Super built-up Area,Ready To Move,Chokdi Gangapol,5 BHK,Metro Heights,3484,5,3,420.72
Super built-up Area,Ready To Move,Ajmer Road,1 BHK,Prime Residency,1224,1,0,147.62
Plot Area,Ready To Move,Civil Lines,4 BHK,Prime Residency,4237,5,3,277.2
Super built-up Area,Under Construction,Jawahar Nagar,1 BHK,Sunrise Apartments,3375,2,1,416.38
Plot Area,Ready To Move,Gandhi Path West,5 BHK,City Heights,4406,5,3,657.99
Carpet Area,Ready To Move,Raja Park,2 BHK,Raj Villas,1713,1,2,63.97
Plot Area,Ready To Move,Manchwa,4 BHK,Royal Enclave,1175,4,3,57.48
Super built-up Area,Ready To Move,Malviya Nagar,4 BHK,City Heights,3400,3,2,78.67
Built-up Area,Ready To Move,Tagore Nagar,1 BHK,Elite Society,1779,1,1,242.77
Built-up Area,Ready To Move,Brahmpuri,4 BHK,Urban Estate,677,3,3,18.89
Plot Area,Under Construction,Civil Lines,1 BHK,Royal Enclave,3538,2,0,181.61
Plot Area,Ready To Move,Shyam Nagar,5 BHK,Luxury Heights,4292,5,3,351.92
Plot Area,Ready To Move,Parasrampuri,4 BHK,Golden Horizon,1314,4,3,140.46
Plot Area,Ready To Move,Hanuman Nagar,2 BHK,Sapphire Residency,3911,3,2,498.02
Carpet Area,Ready To Move,Parasrampuri,5 BHK,Urban Estate,1127,5,3,153.35
Super built-up Area,Under Construction,Hanuman Nagar,5 BHK,Luxury Heights,2313,4,3,184.11
Plot Area,Ready To Move,Ajmer Road,4 BHK,Shyam Residency,4655,5,3,164.2
Super built-up Area,Ready To Move,Brahmpuri,2 BHK,Sunrise Apartments,1187,3,0,174.29
Plot Area,Ready To Move,Shyam Nagar,5 BHK,Raj Villas,3970,5,3,528.75
Super built-up Area,Under Construction,Raja Park,2 BHK,Raj Villas,3201,1,2,355.03
Super built-up Area,Ready To Move,Brahmpuri,1 BHK,Park View,1789,2,1,55.0
Built-up Area,Under Construction,Manchwa,3 BHK,Sapphire Residency,2649,2,2,313.92
Plot Area,Ready To Move,Bapu Nagar,4 BHK,Luxury Heights,3043,5,3,185.82
Plot Area,Ready To Move,Dahar Ka Balaji,5 BHK,Prime Residency,1935,4,3,173.66
Super built-up Area,Ready To Move,Ajmer Road,2 BHK,Urban Estate,1453,2,2,204.46
Super built-up Area,Ready To Move,Chokdi Gangapol,3 BHK,Heritage Homes,1128,4,3,67.94
Built-up Area,Ready To Move,Hanuman Nagar,4 BHK,City Heights,2572,4,3,341.17
Carpet Area,Ready To Move,Ajmer Road,3 BHK,Zenith Society,1611,2,2,147.0
Plot Area,Ready To Move,Brahmpuri,1 BHK,Prime Residency,2951,1,1,167.42
Plot Area,Ready To Move,Maniyawas,2 BHK,Raj Villas,4170,2,1,580.23
Carpet Area,Under Construction,Maniyawas,1 BHK,Blue Haven,2050,1,0,54.27
Built-up Area,Under Construction,Dahar Ka Balaji,2 BHK,Blue Haven,1515,1,2,95.88
Plot Area,Under Construction,Dahar Ka Balaji,1 BHK,Luxury Heights,2572,2,0,223.72
Super built-up Area,Ready To Move,Dahar Ka Balaji,2 BHK,Prime Residency,978,3,2,51.1
Super built-up Area,Ready To Move,Dahar Ka Balaji,4 BHK,Elite Society,1362,3,2,149.21
Built-up Area,Ready To Move,Civil Lines,5 BHK,Metro Heights,931,4,3,56.39
Super built-up Area,Ready To Move,Parasrampuri,3 BHK,Emerald Greens,1330,2,3,175.47
Carpet Area,Ready To Move,Sita Vihar,1 BHK,Golden Horizon,1721,1,0,141.31
Super built-up Area,Under Construction,Sita Vihar,5 BHK,Sapphire Residency,1277,5,3,174.92
Plot Area,Ready To Move,Raja Park,2 BHK,Heritage Homes,4540,1,0,491.74
Plot Area,Ready To Move,Parasrampuri,5 BHK,Luxury Heights,3138,5,3,437.98
Carpet Area,Ready To Move,Hanuman Nagar,1 BHK,Emerald Greens,1576,1,0,92.66
Super built-up Area,Ready To Move,Bapu Nagar,1 BHK,Emerald Greens,2545,1,0,155.23
Super built-up Area,Ready To Move,Malviya Nagar,2 BHK,Emerald Greens,872,2,2,67.72
Super built-up Area,Ready To Move,Ajmer Road,5 BHK,Emerald Greens,2419,5,3,323.32
Plot Area,Under Construction,Malviya Nagar,2 BHK,Prime Residency,4214,1,1,197.18
Plot Area,Ready To Move,Mansarovar Ext.,5 BHK,Park View,1336,5,3,184.05
Built-up Area,Ready To Move,Ajmer Road,1 BHK,Metro Heights,2851,2,0,358.85
Carpet Area,Under Construction,Manchwa,4 BHK,Emerald Greens,2290,3,3,45.85
Super built-up Area,Under Construction,Sirsi,1 BHK,Blue Haven,3388,2,1,486.7
Super built-up Area,Ready To Move,Raja Park,2 BHK,Shyam Residency,2065,2,1,268.98
Plot Area,Ready To Move,Gandhi Path West,4 BHK,Emerald Greens,2610,3,3,343.68
Plot Area,Ready To Move,Sita Vihar,2 BHK,Zenith Society,3326,3,2,251.57
Built-up Area,Under Construction,Maniyawas,1 BHK,Zenith Society,1349,1,0,155.75
Super built-up Area,Ready To Move,Raja Park,5 BHK,Elite Society,912,5,3,22.54
Super built-up Area,Under Construction,Parasrampuri,1 BHK,City Heights,2593,1,0,106.09
Plot Area,Ready To Move,Chokdi Gangapol,5 BHK,Luxury Heights,3493,5,3,162.23
Super built-up Area,Ready To Move,Parasrampuri,3 BHK,Park View,2685,4,1,227.31
Plot Area,Under Construction,Maniyawas,5 BHK,City Heights,978,5,3,46.48
Super built-up Area,Ready To Move,Tagore Nagar,5 BHK,Blue Haven,2403,5,3,185.07
Plot Area,Ready To Move,Civil Lines,3 BHK,Shyam Residency,3122,2,2,73.07
Plot Area,Ready To Move,Sirsi,1 BHK,Luxury Heights,1063,1,0,71.27
Super built-up Area,Under Construction,Malviya Nagar,5 BHK,Emerald Greens,793,4,3,18.09
Plot Area,Ready To Move,Parasrampuri,2 BHK,Sunrise Apartments,3848,2,1,565.45
Plot Area,Ready To Move,Raja Park,5 BHK,Urban Estate,3993,5,3,292.19
Super built-up Area,Ready To Move,Manchwa,3 BHK,Cosmopolitan Society,2856,4,3,308.94
Plot Area,Ready To Move,Gandhi Path West,2 BHK,Blue Haven,3613,2,0,93.83
Carpet Area,Ready To Move,Raja Park,5 BHK,Shyam Residency,1246,5,3,180.88
Plot Area,Ready To Move,Vaishali Nagar,3 BHK,Golden Horizon,4785,4,1,173.67
Super built-up Area,Ready To Move,Hanuman Nagar,2 BHK,Sunrise Apartments,2613,3,0,258.7
Super built-up Area,Ready To Move,Dahar Ka Balaji,4 BHK,Park View,2391,5,3,217.73
Carpet Area,Ready To Move,Parasrampuri,1 BHK,Heritage Homes,923,1,0,122.57
Plot Area,Under Construction,Chokdi Gangapol,5 BHK,Shyam Residency,4878,5,3,217.81
Carpet Area,Under Construction,Dahar Ka Balaji,1 BHK,Urban Estate,1569,1,0,126.85
Plot Area,Under Construction,Vaishali Nagar,5 BHK,Sapphire Residency,2614,4,3,248.46
Super built-up Area,Ready To Move,Hanuman Nagar,2 BHK,Sapphire Residency,1549,3,0,46.07
Built-up Area,Under Construction,Shyam Nagar,5 BHK,Green Meadows,823,4,3,31.98
Plot Area,Under Construction,Bapu Nagar,2 BHK,City Heights,4036,1,1,406.03
Super built-up Area,Ready To Move,Dahar Ka Balaji,3 BHK,Blue Haven,2316,2,3,177.84
Plot Area,Under Construction,Shyam Nagar,2 BHK,Heritage Homes,1767,2,0,186.3
Super built-up Area,Ready To Move,Sita Vihar,3 BHK,Elite Society,2463,4,3,218.1
Built-up Area,Ready To Move,Ajmer Road,2 BHK,Pearl Gardens,1020,3,1,58.43
Carpet Area,Under Construction,Civil Lines,4 BHK,Pearl Gardens,874,3,3,130.44
Carpet Area,Ready To Move,Jawahar Nagar,2 BHK,Elite Society,2003,2,1,191.31
Plot Area,Ready To Move,Tagore Nagar,3 BHK,Emerald Greens,3361,2,2,400.16
Plot Area,Under Construction,Gandhi Path West,5 BHK,City Heights,3109,5,3,71.85
Carpet Area,Under Construction,Brahmpuri,5 BHK,Park View,2352,4,3,284.07
Plot Area,Ready To Move,Sita Vihar,2 BHK,Prime Residency,3215,2,0,260.63
Super built-up Area,Ready To Move,Jawahar Nagar,2 BHK,Sunrise Apartments,2357,3,1,325.56
Super built-up Area,Ready To Move,Sita Vihar,5 BHK,Cosmopolitan Society,1788,4,3,194.36
Super built-up Area,Under Construction,Malviya Nagar,5 BHK,Metro Heights,1424,4,3,132.09
Plot Area,Under Construction,Hanuman Nagar,5 BHK,City Heights,1964,5,3,114.4
Built-up Area,Ready To Move,Dahar Ka Balaji,5 BHK,Prime Residency,2999,5,3,226.98
Built-up Area,Ready To Move,Brahmpuri,4 BHK,Urban Estate,2297,3,3,79.53
Plot Area,Under Construction,Malviya Nagar,5 BHK,Cosmopolitan Society,833,5,3,17.27
Super built-up Area,Ready To Move,Brahmpuri,1 BHK,Blue Haven,1024,1,0,72.26
Plot Area,Under Construction,Gandhi Path West,4 BHK,Prime Residency,2734,3,3,173.08
Plot Area,Under Construction,Parasrampuri,1 BHK,Prime Residency,4564,2,0,280.41
Plot Area,Ready To Move,Brahmpuri,2 BHK,Urban Estate,3222,3,0,102.33
Carpet Area,Ready To Move,Sirsi,3 BHK,Cosmopolitan Society,700,4,1,102.96
Super built-up Area,Ready To Move,Sirsi,1 BHK,Sunrise Apartments,2339,1,1,303.1
Plot Area,Ready To Move,Sirsi,3 BHK,Sunrise Apartments,3766,3,2,429.31
Carpet Area,Ready To Move,Sirsi,5 BHK,Cosmopolitan Society,1597,5,3,91.82
Plot Area,Under Construction,Ajmer Road,4 BHK,Royal Enclave,1866,3,3,116.99
Built-up Area,Ready To Move,Mansarovar Ext.,5 BHK,Heritage Homes,1031,5,3,61.97
Plot Area,Ready To Move,Maniyawas,3 BHK,Green Meadows,2917,3,2,417.65
Super built-up Area,Under Construction,Malviya Nagar,4 BHK,Blue Haven,1388,4,2,60.55
Super built-up Area,Under Construction,Manchwa,5 BHK,Urban Estate,1327,5,3,54.03
Plot Area,Ready To Move,Chokdi Gangapol,3 BHK,Zenith Society,1754,3,2,140.99
Super built-up Area,Under Construction,Mansarovar Ext.,4 BHK,Raj Villas,1923,4,2,77.36
Plot Area,Ready To Move,Parasrampuri,4 BHK,Cosmopolitan Society,1068,5,2,93.6
Super built-up Area,Ready To Move,Sita Vihar,1 BHK,Shyam Residency,1444,1,0,157.78
Super built-up Area,Ready To Move,Vaishali Nagar,3 BHK,Green Meadows,2580,4,1,361.14
Super built-up Area,Ready To Move,Raja Park,3 BHK,Urban Estate,1793,2,3,153.73
Built-up Area,Under Construction,Maniyawas,5 BHK,Metro Heights,878,4,3,66.03
Super built-up Area,Ready To Move,Jawahar Nagar,1 BHK,Shyam Residency,1448,1,1,49.99
Plot Area,Under Construction,Gandhi Path West,3 BHK,Park View,2632,2,1,148.78
Super built-up Area,Ready To Move,Sirsi,2 BHK,Urban Estate,2498,1,0,98.8
Plot Area,Under Construction,Parasrampuri,1 BHK,Raj Villas,4171,1,1,603.96
Super built-up Area,Ready To Move,Parasrampuri,4 BHK,Metro Heights,2035,3,2,237.42
Plot Area,Under Construction,Parasrampuri,2 BHK,Emerald Greens,3956,1,2,335.07
Plot Area,Under Construction,Brahmpuri,3 BHK,Emerald Greens,2349,3,2,283.11
Super built-up Area,Under Construction,Hanuman Nagar,3 BHK,Cosmopolitan Society,1895,2,1,210.12
Carpet Area,Ready To Move,Maniyawas,2 BHK,Shyam Residency,1786,3,0,36.19
Super built-up Area,Ready To Move,Tagore Nagar,3 BHK,City Heights,1007,3,2,61.35
Super built-up Area,Ready To Move,Mansarovar Ext.,3 BHK,Pearl Gardens,2217,2,1,82.79
Plot Area,Ready To Move,Sita Vihar,1 BHK,Elite Society,4247,1,1,472.18
Super built-up Area,Under Construction,Civil Lines,1 BHK,Park View,3483,2,1,139.63
Built-up Area,Ready To Move,Bapu Nagar,5 BHK,Raj Villas,2845,5,3,106.55
Plot Area,Ready To Move,Manchwa,3 BHK,Pearl Gardens,2462,2,3,212.38
Built-up Area,Ready To Move,Maniyawas,5 BHK,Cosmopolitan Society,2928,5,3,127.24
Super built-up Area,Ready To Move,Dahar Ka Balaji,5 BHK,Raj Villas,1534,4,3,50.89
Built-up Area,Ready To Move,Tagore Nagar,4 BHK,Sunrise Apartments,2770,4,2,138.59
Built-up Area,Ready To Move,Civil Lines,3 BHK,Elite Society,1565,3,2,161.49
Super built-up Area,Under Construction,Maniyawas,1 BHK,Park View,1453,1,1,190.3
Built-up Area,Ready To Move,Ajmer Road,5 BHK,Urban Estate,2599,5,3,294.47
Super built-up Area,Ready To Move,Parasrampuri,5 BHK,Cosmopolitan Society,2492,5,3,169.7
Super built-up Area,Ready To Move,Sita Vihar,4 BHK,Pearl Gardens,1393,3,2,77.85
Built-up Area,Ready To Move,Bapu Nagar,5 BHK,Park View,818,5,3,44.23
Super built-up Area,Ready To Move,Chokdi Gangapol,2 BHK,Pearl Gardens,2064,2,2,267.62
Plot Area,Ready To Move,Sita Vihar,5 BHK,Sunrise Apartments,1991,5,3,186.25
Plot Area,Ready To Move,Brahmpuri,4 BHK,Blue Haven,3124,3,2,160.91
Built-up Area,Under Construction,Tagore Nagar,3 BHK,Heritage Homes,850,4,2,82.8
Built-up Area,Under Construction,Civil Lines,2 BHK,Cosmopolitan Society,2685,1,2,168.46
Super built-up Area,Ready To Move,Bapu Nagar,2 BHK,Royal Enclave,892,3,1,57.14
Built-up Area,Ready To Move,Brahmpuri,1 BHK,City Heights,755,1,0,29.07
Plot Area,Under Construction,Sita Vihar,3 BHK,Blue Haven,4981,4,1,394.86
Built-up Area,Under Construction,Sita Vihar,4 BHK,Royal Enclave,624,5,3,49.6
Super built-up Area,Ready To Move,Shyam Nagar,5 BHK,Luxury Heights,797,5,3,87.93
Built-up Area,Ready To Move,Vaishali Nagar,5 BHK,Cosmopolitan Society,1626,5,3,219.84
Plot Area,Ready To Move,Gandhi Path West,5 BHK,Green Meadows,4093,5,3,234.61
Carpet Area,Ready To Move,Ajmer Road,1 BHK,Raj Villas,1217,2,0,46.61
Plot Area,Ready To Move,Shyam Nagar,5 BHK,Green Meadows,1967,5,3,229.08
Built-up Area,Ready To Move,Civil Lines,5 BHK,Pearl Gardens,1036,5,3,136.37
Super built-up Area,Ready To Move,Malviya Nagar,2 BHK,Sapphire Residency,973,3,1,34.47
Super built-up Area,Ready To Move,Vaishali Nagar,2 BHK,Blue Haven,2924,3,1,186.41
Plot Area,Ready To Move,Shyam Nagar,1 BHK,Urban Estate,878,1,0,48.79
Super built-up Area,Ready To Move,Raja Park,4 BHK,Sapphire Residency,3322,4,2,321.7
Carpet Area,Ready To Move,Parasrampuri,1 BHK,City Heights,946,1,0,115.28
Built-up Area,Under Construction,Ajmer Road,4 BHK,Blue Haven,1710,3,3,108.52
Super built-up Area,Ready To Move,Dahar Ka Balaji,4 BHK,Elite Society,740,4,3,30.27
Built-up Area,Under Construction,Manchwa,5 BHK,Sapphire Residency,2661,5,3,295.65
Super built-up Area,Under Construction,Gandhi Path West,4 BHK,Prime Residency,1923,4,3,85.22
Plot Area,Ready To Move,Gandhi Path West,3 BHK,City Heights,891,4,3,66.05
Carpet Area,Under Construction,Maniyawas,5 BHK,Elite Society,2069,5,3,120.25
Carpet Area,Ready To Move,Maniyawas,2 BHK,Prime Residency,2186,2,0,297.62
Plot Area,Under Construction,Civil Lines,3 BHK,Prime Residency,2590,4,2,379.23
Carpet Area,Under Construction,Sita Vihar,3 BHK,Elite Society,877,2,3,47.93
Plot Area,Ready To Move,Chokdi Gangapol,1 BHK,Luxury Heights,4293,1,0,224.47
Super built-up Area,Ready To Move,Brahmpuri,1 BHK,Royal Enclave,1370,1,1,173.44
Built-up Area,Ready To Move,Sirsi,1 BHK,Prime Residency,2085,1,0,193.32
Built-up Area,Under Construction,Hanuman Nagar,2 BHK,Heritage Homes,793,3,1,74.35
Super built-up Area,Ready To Move,Shyam Nagar,4 BHK,Heritage Homes,2485,4,2,284.27
Built-up Area,Ready To Move,Tagore Nagar,1 BHK,Metro Heights,1561,2,0,85.31
Plot Area,Ready To Move,Malviya Nagar,5 BHK,Elite Society,3916,4,3,485.23
Super built-up Area,Under Construction,Shyam Nagar,2 BHK,City Heights,2761,1,0,225.42
Plot Area,Under Construction,Ajmer Road,1 BHK,Zenith Society,1301,2,0,165.87
Built-up Area,Ready To Move,Manchwa,5 BHK,Pearl Gardens,1541,5,3,35.78
Super built-up Area,Ready To Move,Manchwa,2 BHK,Golden Horizon,2837,1,2,166.82
Built-up Area,Ready To Move,Manchwa,1 BHK,Golden Horizon,2502,1,0,370.99
Super built-up Area,Ready To Move,Dahar Ka Balaji,1 BHK,City Heights,1957,1,1,112.11
Super built-up Area,Ready To Move,Jawahar Nagar,5 BHK,Pearl Gardens,2716,4,3,208.48
Super built-up Area,Under Construction,Chokdi Gangapol,5 BHK,Park View,1748,5,3,207.42
Plot Area,Under Construction,Chokdi Gangapol,3 BHK,City Heights,4419,2,3,265.83
Plot Area,Under Construction,Malviya Nagar,5 BHK,City Heights,4947,4,3,609.46
Plot Area,Ready To Move,Dahar Ka Balaji,1 BHK,Raj Villas,2169,1,0,242.01
Plot Area,Ready To Move,Malviya Nagar,4 BHK,Pearl Gardens,907,4,3,76.09
Plot Area,Ready To Move,Sirsi,4 BHK,Sunrise Apartments,1004,3,3,109.5
Super built-up Area,Ready To Move,Bapu Nagar,4 BHK,Park View,1413,3,3,208.7
Built-up Area,Ready To Move,Malviya Nagar,3 BHK,Luxury Heights,2206,4,3,265.9
Built-up Area,Ready To Move,Gandhi Path West,3 BHK,Zenith Society,1468,4,3,122.91
Super built-up Area,Ready To Move,Jawahar Nagar,1 BHK,Cosmopolitan Society,3442,2,0,378.01
Plot Area,Ready To Move,Maniyawas,4 BHK,Raj Villas,4931,5,2,164.96
Super built-up Area,Ready To Move,Mansarovar Ext.,2 BHK,Pearl Gardens,1235,1,1,139.73
Carpet Area,Ready To Move,Hanuman Nagar,3 BHK,Emerald Greens,1481,3,1,29.67
Super built-up Area,Under Construction,Dahar Ka Balaji,1 BHK,Urban Estate,2276,2,0,326.95
Plot Area,Under Construction,Malviya Nagar,2 BHK,Green Meadows,1714,3,0,185.29
Plot Area,Ready To Move,Vaishali Nagar,3 BHK,Blue Haven,4317,2,1,392.84
Super built-up Area,Under Construction,Gandhi Path West,5 BHK,Shyam Residency,1084,5,3,116.91
Plot Area,Ready To Move,Civil Lines,3 BHK,Urban Estate,959,2,2,125.92
Plot Area,Under Construction,Vaishali Nagar,2 BHK,Sunrise Apartments,2539,1,0,342.88
Built-up Area,Under Construction,Bapu Nagar,4 BHK,Sunrise Apartments,1375,4,3,71.25
Super built-up Area,Ready To Move,Brahmpuri,4 BHK,Prime Residency,3197,4,2,458.28
Plot Area,Ready To Move,Bapu Nagar,2 BHK,Blue Haven,1520,3,2,169.39
Super built-up Area,Under Construction,Jawahar Nagar,1 BHK,Sapphire Residency,2493,2,1,236.74
Super built-up Area,Ready To Move,Mansarovar Ext.,2 BHK,Blue Haven,3180,1,2,149.54
Built-up Area,Under Construction,Tagore Nagar,2 BHK,Elite Society,2294,3,0,328.11
Super built-up Area,Under Construction,Bapu Nagar,5 BHK,Royal Enclave,1945,5,3,278.71
Built-up Area,Ready To Move,Malviya Nagar,1 BHK,City Heights,1142,1,0,55.61
Super built-up Area,Ready To Move,Sita Vihar,5 BHK,Sapphire Residency,2823,5,3,276.24
Super built-up Area,Ready To Move,Parasrampuri,3 BHK,Heritage Homes,2815,2,3,68.03
Built-up Area,Under Construction,Jawahar Nagar,3 BHK,Metro Heights,1717,2,2,145.0
Super built-up Area,Under Construction,Jawahar Nagar,2 BHK,Shyam Residency,1690,1,0,44.42
Super built-up Area,Ready To Move,Brahmpuri,2 BHK,Park View,1709,2,1,133.71
Plot Area,Under Construction,Tagore Nagar,5 BHK,Cosmopolitan Society,4472,5,3,95.36
Plot Area,Ready To Move,Sirsi,2 BHK,Cosmopolitan Society,4179,2,0,438.39
Super built-up Area,Ready To Move,Ajmer Road,1 BHK,Green Meadows,1304,1,0,114.41
Plot Area,Ready To Move,Malviya Nagar,1 BHK,City Heights,4597,2,1,529.07
Super built-up Area,Under Construction,Jawahar Nagar,5 BHK,Elite Society,1332,5,3,157.91
Super built-up Area,Under Construction,Shyam Nagar,1 BHK,Golden Horizon,2175,1,0,58.44
Plot Area,Ready To Move,Shyam Nagar,3 BHK,Prime Residency,2293,3,2,180.14
Plot Area,Ready To Move,Bapu Nagar,3 BHK,City Heights,3165,4,3,153.09
Plot Area,Ready To Move,Gandhi Path West,5 BHK,Heritage Homes,985,5,3,100.96
Plot Area,Under Construction,Manchwa,4 BHK,Prime Residency,1185,5,2,64.66
Built-up Area,Ready To Move,Parasrampuri,3 BHK,Prime Residency,957,3,3,59.34
Super built-up Area,Ready To Move,Manchwa,5 BHK,Heritage Homes,2483,5,3,198.66
Super built-up Area,Ready To Move,Parasrampuri,2 BHK,Prime Residency,2509,2,2,209.18
Built-up Area,Under Construction,Sirsi,4 BHK,Elite Society,2830,4,3,322.6
Plot Area,Ready To Move,Maniyawas,2 BHK,Cosmopolitan Society,1910,1,1,236.99
Built-up Area,Ready To Move,Parasrampuri,4 BHK,Shyam Residency,1871,3,2,131.55
Super built-up Area,Ready To Move,Parasrampuri,1 BHK,Heritage Homes,3047,1,0,341.73
Super built-up Area,Under Construction,Jawahar Nagar,2 BHK,Elite Society,1309,3,2,123.86
Plot Area,Under Construction,Sirsi,3 BHK,Prime Residency,3383,3,1,502.91
Built-up Area,Ready To Move,Gandhi Path West,2 BHK,Metro Heights,1050,2,1,45.34
Super built-up Area,Ready To Move,Civil Lines,5 BHK,Blue Haven,2277,4,3,296.93
Built-up Area,Ready To Move,Vaishali Nagar,3 BHK,Pearl Gardens,2875,2,1,142.33
Plot Area,Ready To Move,Brahmpuri,3 BHK,City Heights,3555,4,2,150.96
Built-up Area,Under Construction,Raja Park,4 BHK,Emerald Greens,1434,4,3,208.26
Plot Area,Ready To Move,Parasrampuri,4 BHK,Elite Society,2560,3,3,226.35
Super built-up Area,Ready To Move,Mansarovar Ext.,2 BHK,Zenith Society,711,1,1,105.34
Plot Area,Under Construction,Jawahar Nagar,4 BHK,Zenith Society,1296,3,2,36.44
